address,size,names,assemblyFile,fileByteOffset
0xabf7d4,220,_ZNK7cocos2d16FileUtilsAndroid14isAbsolutePathERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,313315
0xabf8b0,1044,_ZN7cocos2d16FileUtilsAndroid9getFildFdERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEPlSA_,text.asm,316430
0xabfcc4,4,_ZN7cocos2d15ResizableBufferD2Ev,text.asm,330837
0xabfcc8,976,_ZN7cocos2d16FileUtilsAndroid11getContentsERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEPNS_15ResizableBufferE,text.asm,330927
0xac0098,1284,_ZN7cocos2d16FileUtilsAndroid11extractFileERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,344297
0xac059c,788,_ZNK7cocos2d16FileUtilsAndroid15getWritablePathEv,text.asm,362131
0xac08b0,4,_ZN7cocos2d22ResizableBufferAdapterINS_4DataEED0Ev,text.asm,373050
0xac08b4,96,_ZN7cocos2d22ResizableBufferAdapterINS_4DataEE6resizeEm,text.asm,373168
0xac0914,8,_ZNK7cocos2d22ResizableBufferAdapterINS_4DataEE6bufferEv,text.asm,374553
0xac099c,8,__ctype_get_mb_cur_max,text.asm,376519
0xac09a4,256,_ZN7cocos2d11Application14updateViewSizeEii,text.asm,376648
0xac0af4,272,Java_org_cocos2dx_lib_Cocos2dxGLSurfaceView_nativeOnSizeChanged,text.asm,381300
0xac0c04,244,Java_org_cocos2dx_lib_Cocos2dxOrientationHelper_nativeOnOrientationChanged,text.asm,385097
0xac0cf8,500,_ZN7cocos2d11ApplicationC1ERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEii | _ZN7cocos2d11ApplicationC2ERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEii,text.asm,388516
0xac0eec,96,_ZN7cocos2d11ApplicationD1Ev | _ZN7cocos2d11ApplicationD2Ev,text.asm,395592
0xac0f4c,36,_ZN7cocos2d11ApplicationD0Ev,text.asm,397000
0xac0f70,12,_ZN7cocos2d11Application5startEv,text.asm,397547
0xac0f7c,4,_ZN7cocos2d11Application7restartEv,text.asm,397748
0xac0f80,4,_ZN7cocos2d11Application3endEv,text.asm,397850
0xac0f84,4,_ZN7cocos2d11Application13setMultitouchEb,text.asm,397948
0xac0f88,8,_ZN7cocos2d11Application29applicationDidFinishLaunchingEv,text.asm,398047
0xac0f90,4,_ZN7cocos2d11Application7onPauseEv,text.asm,398211
